price,type,address,url,added_on,search_datetime,postcode,number_bedrooms
500000.0,3 bedroom terraced house for sale,"Bernhart Close Edgware, Edgware, London, HA8",https://www.rightmove.co.uk/properties/126369833#/?channel=RES_BUY,2022-10-14,"05:05AM on October 14, 2022",HA8,3.0
420000.0,4 bedroom end of terrace house for sale,"Middle Walk, Burnham, Bucks, SL1",https://www.rightmove.co.uk/properties/117558812#/?channel=RES_BUY,2022-10-14,"05:56AM on October 14, 2022",SL1,4.0
425000.0,3 bedroom terraced house for sale,"Birch Grove, Slough",https://www.rightmove.co.uk/properties/127980380#/?channel=RES_BUY,2022-10-13,"05:56AM on October 14, 2022",,3.0
500000.0,3 bedroom semi-detached house for sale,"Cippenham,  Slough, Berkshire, SL1",https://www.rightmove.co.uk/properties/127979210#/?channel=RES_BUY,2022-10-13,"05:56AM on October 14, 2022",SL1,3.0
570000.0,3 bedroom terraced house for sale,"Allington Road, Harrow",https://www.rightmove.co.uk/properties/127997402#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",,3.0
625000.0,4 bedroom detached house for sale,"Goldsworthy Way, Slough, Berkshire",https://www.rightmove.co.uk/properties/127354052#/?channel=RES_BUY,2022-10-13,"05:56AM on October 14, 2022",,4.0
450000.0,2 bedroom semi-detached house for sale,"Northborough Road, Slough",https://www.rightmove.co.uk/properties/127979489#/?channel=RES_BUY,2022-10-13,"05:56AM on October 14, 2022",,2.0
585000.0,3 bedroom end of terrace house for sale,"Little Hivings, Chesham",https://www.rightmove.co.uk/properties/85834413#/?channel=RES_BUY,2022-10-13,"05:56AM on October 14, 2022",,3.0
450000.0,5 bedroom semi-detached house for sale,"Nutkins Way, Chesham",https://www.rightmove.co.uk/properties/128006108#/?channel=RES_BUY,2022-10-13,"05:56AM on October 14, 2022",,5.0
375000.0,2 bedroom terraced house for sale,"Westborough Road, Maidenhead",https://www.rightmove.co.uk/properties/127982060#/?channel=RES_BUY,2022-10-13,"05:56AM on October 14, 2022",,2.0
470000.0,2 bedroom house for sale,"Alexandra Road, London, N10",https://www.rightmove.co.uk/properties/127566200#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",N10,2.0
400000.0,2 bedroom terraced house for sale,"Hartington Close, Harrow",https://www.rightmove.co.uk/properties/127979960#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",,2.0
475000.0,3 bedroom town house for sale,"Yeoman Road, Northolt",https://www.rightmove.co.uk/properties/125726474#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",,3.0
425000.0,2 bedroom terraced house for sale,"Greenford Road, Harrow, HA1",https://www.rightmove.co.uk/properties/125103134#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",HA1,2.0
550000.0,4 bedroom end of terrace house for sale,"Brunswick Grove, Brunswick Park N11",https://www.rightmove.co.uk/properties/125886407#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",N11,4.0
600000.0,3 bedroom semi-detached house for sale,"Ormesby Drive, Potters Bar",https://www.rightmove.co.uk/properties/128010674#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",,3.0
550000.0,3 bedroom semi-detached house for sale,"Curzon Avenue, Stanmore, HA7",https://www.rightmove.co.uk/properties/125758220#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",HA7,3.0
650000.0,4 bedroom end of terrace house for sale,"Oaklands Road, Willesden Green, London",https://www.rightmove.co.uk/properties/124733090#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",,4.0
640000.0,3 bedroom terraced house for sale,"Trent Gardens, London, N14",https://www.rightmove.co.uk/properties/128001023#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",N14,3.0
597000.0,3 bedroom semi-detached house for sale,"Riverdene, Edgware",https://www.rightmove.co.uk/properties/123301667#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",,3.0
465000.0,2 bedroom terraced house for sale,"Morell Close, Barnet, EN5",https://www.rightmove.co.uk/properties/127812413#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",EN5,2.0
500000.0,2 bedroom terraced house for sale,"Bramley Close, Eastcote, Pinner, Middlesex, HA5",https://www.rightmove.co.uk/properties/127982786#/?channel=RES_BUY,2022-10-13,"05:56AM on October 14, 2022",HA5,2.0
550000.0,3 bedroom cottage for sale,"Church Street, Rickmansworth, WD3",https://www.rightmove.co.uk/properties/126617168#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",WD3,3.0
650000.0,4 bedroom house for sale,"Allonby Drive, Ruislip, Middlesex, HA4",https://www.rightmove.co.uk/properties/128011841#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",HA4,4.0
600000.0,3 bedroom semi-detached house for sale,"Woodlands Avenue, Ruislip",https://www.rightmove.co.uk/properties/124612103#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",,3.0
625000.0,3 bedroom end of terrace house for sale,"Royal Crescent, Ruislip",https://www.rightmove.co.uk/properties/85851486#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",,3.0
455000.0,3 bedroom detached house for sale,"Clifford Close, Northolt",https://www.rightmove.co.uk/properties/126388070#/?channel=RES_BUY,2022-10-13,"05:55AM on October 14, 2022",,3.0
500000.0,2 bedroom terraced house for sale,"Bramley Close, Eastcote, Pinner",https://www.rightmove.co.uk/properties/127965863#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",,2.0
550000.0,3 bedroom end of terrace house for sale,"Sandalwood Drive, Ruislip",https://www.rightmove.co.uk/properties/127966856#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",,3.0
510000.0,4 bedroom end of terrace house for sale,"Aylsham Drive, Ickenham, UB10",https://www.rightmove.co.uk/properties/124673414#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",UB10,4.0
650000.0,4 bedroom semi-detached house for sale,"Beatrice Close, Pinner, HA5",https://www.rightmove.co.uk/properties/127976342#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",HA5,4.0
600000.0,3 bedroom terraced house for sale,"Royal Crescent, Ruislip",https://www.rightmove.co.uk/properties/127944362#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",,3.0
650000.0,3 bedroom semi-detached house for sale,"Alderney Gardens, Northolt",https://www.rightmove.co.uk/properties/127945463#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",,3.0
600000.0,2 bedroom semi-detached house for sale,"Cheriton Close, Barnet",https://www.rightmove.co.uk/properties/126658796#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",,2.0
635000.0,4 bedroom semi-detached house for sale,"Morley Crescent West, Stanmore, HA7",https://www.rightmove.co.uk/properties/127021607#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",HA7,4.0
555000.0,3 bedroom terraced house for sale,"Lindal Crescent, Enfield, EN2",https://www.rightmove.co.uk/properties/125404874#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",EN2,3.0
650000.0,4 bedroom town house for sale,"Bishops Close, Barnet",https://www.rightmove.co.uk/properties/85922169#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",,4.0
575000.0,3 bedroom semi-detached house for sale,"East Crescent, London",https://www.rightmove.co.uk/properties/126083159#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",,3.0
615000.0,3 bedroom end of terrace house for sale,"Lancaster Road, New Barnet, EN4",https://www.rightmove.co.uk/properties/122034641#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",EN4,3.0
415000.0,2 bedroom terraced house for sale,"Robeson Way, Borehamwood, WD6",https://www.rightmove.co.uk/properties/121326722#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",WD6,2.0
570000.0,2 bedroom terraced house for sale,"Chase Road, London, N14",https://www.rightmove.co.uk/properties/127938719#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",N14,2.0
625000.0,5 bedroom terraced house for sale,"Crouch Road, London NW10",https://www.rightmove.co.uk/properties/127945088#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",NW10,5.0
575000.0,3 bedroom semi-detached house for sale,"Meadfield, Edgware",https://www.rightmove.co.uk/properties/127953701#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",,3.0
550000.0,3 bedroom semi-detached house for sale,"Charlock Way, Watford",https://www.rightmove.co.uk/properties/127966523#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",,3.0
575000.0,2 bedroom barn conversion for sale,"Hill Top, London",https://www.rightmove.co.uk/properties/127966094#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",,2.0
650000.0,3 bedroom semi-detached house for sale,"St. Georges Avenue, Colindale, London, NW9",https://www.rightmove.co.uk/properties/127968968#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",NW9,3.0
650000.0,3 bedroom terraced house for sale,"Ravenswood Park, Northwood, Middlesex, HA6",https://www.rightmove.co.uk/properties/127970978#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",HA6,3.0
650000.0,3 bedroom semi-detached house for sale,"Welbeck Road, Harrow, Middlesex, HA2",https://www.rightmove.co.uk/properties/127945634#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",HA2,3.0
555000.0,3 bedroom end of terrace house for sale,"Torbay Road, Harrow",https://www.rightmove.co.uk/properties/125492192#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",,3.0
440000.0,3 bedroom house for sale,"Lowestoft Drive, Cippenham, SL1",https://www.rightmove.co.uk/properties/123182798#/?channel=RES_BUY,2022-10-12,"05:56AM on October 14, 2022",SL1,3.0
500000.0,3 bedroom detached house for sale,"Cippenham,  Slough, Berkshire, SL1",https://www.rightmove.co.uk/properties/127946489#/?channel=RES_BUY,2022-10-12,"05:56AM on October 14, 2022",SL1,3.0
575000.0,4 bedroom terraced house for sale,"Palace Close, Cippenham",https://www.rightmove.co.uk/properties/127948559#/?channel=RES_BUY,2022-10-12,"05:56AM on October 14, 2022",,4.0
390000.0,2 bedroom end of terrace house for sale,"Rokesby Road, Slough",https://www.rightmove.co.uk/properties/85855635#/?channel=RES_BUY,2022-10-12,"05:56AM on October 14, 2022",,2.0
575000.0,1 bedroom terraced house for sale,"Glen Island, Taplow, Maidenhead",https://www.rightmove.co.uk/properties/127029056#/?channel=RES_BUY,2022-10-12,"05:56AM on October 14, 2022",,1.0
400000.0,3 bedroom terraced house for sale,"Gascons Grove, Slough",https://www.rightmove.co.uk/properties/126863783#/?channel=RES_BUY,2022-10-12,"05:56AM on October 14, 2022",,3.0
625000.0,3 bedroom semi-detached house for sale,"Parkside Way, North Harrow, HA2",https://www.rightmove.co.uk/properties/127956374#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",HA2,3.0
500000.0,2 bedroom terraced house for sale,Cookham. Close to Station,https://www.rightmove.co.uk/properties/127091834#/?channel=RES_BUY,2022-10-12,"05:56AM on October 14, 2022",,2.0
625000.0,4 bedroom semi-detached house for sale,"Farmers Way, Maidenhead",https://www.rightmove.co.uk/properties/127158377#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",,4.0
565000.0,3 bedroom semi-detached house for sale,"Wellington Road, Maidenhead",https://www.rightmove.co.uk/properties/127972121#/?channel=RES_BUY,2022-10-12,"05:56AM on October 14, 2022",,3.0
650000.0,4 bedroom detached house for sale,"Lambourne Drive, Maidenhead, SL6",https://www.rightmove.co.uk/properties/127991243#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",SL6,4.0
600000.0,3 bedroom semi-detached house for sale,"Wavell Road, Maidenhead",https://www.rightmove.co.uk/properties/127972217#/?channel=RES_BUY,2022-10-12,"05:56AM on October 14, 2022",,3.0
395000.0,2 bedroom end of terrace house for sale,"White Lion Road, Amersham, HP7",https://www.rightmove.co.uk/properties/127940441#/?channel=RES_BUY,2022-10-12,"05:56AM on October 14, 2022",HP7,2.0
535000.0,3 bedroom terraced house for sale,"Haslam Close, Ickenham",https://www.rightmove.co.uk/properties/128001296#/?channel=RES_BUY,2022-10-12,"05:55AM on October 14, 2022",,3.0
535000.0,3 bedroom terraced house for sale,"Haslam Close, Ickenham",https://www.rightmove.co.uk/properties/127949846#/?channel=RES_BUY,2022-10-12,"05:55AM on October 13, 2022",,3.0
549950.0,3 bedroom semi-detached house for sale,"Silkfield Road, Colindale, London, NW9",https://www.rightmove.co.uk/properties/127971788#/?channel=RES_BUY,2022-10-12,"05:55AM on October 13, 2022",NW9,3.0
550000.0,3 bedroom semi-detached house for sale,"Meadfield, Edgware",https://www.rightmove.co.uk/properties/127953701#/?channel=RES_BUY,2022-10-12,"05:55AM on October 13, 2022",,3.0
575000.0,3 bedroom semi-detached house for sale,"Meadfield, Edgware, London, HA8",https://www.rightmove.co.uk/properties/127971980#/?channel=RES_BUY,2022-10-12,"05:55AM on October 13, 2022",HA8,3.0
375000.0,2 bedroom house for sale,"Denham Road, London",https://www.rightmove.co.uk/properties/127972190#/?channel=RES_BUY,2022-10-12,"05:55AM on October 13, 2022",,2.0
450000.0,2 bedroom terraced house for sale,"Powney Road, Maidenhead",https://www.rightmove.co.uk/properties/85873047#/?channel=RES_BUY,2022-10-11,"05:56AM on October 14, 2022",,2.0
650000.0,3 bedroom end of terrace house for sale,"Rutland Road, Maidenhead, SL6",https://www.rightmove.co.uk/properties/85905966#/?channel=RES_BUY,2022-10-11,"05:55AM on October 14, 2022",SL6,3.0
419950.0,2 bedroom terraced house for sale,"College Glen, Maidenhead",https://www.rightmove.co.uk/properties/85890003#/?channel=RES_BUY,2022-10-11,"05:56AM on October 14, 2022",,2.0
625000.0,3 bedroom semi-detached house for sale,"Montpelier Rise, Wembley",https://www.rightmove.co.uk/properties/85897554#/?channel=RES_BUY,2022-10-11,"05:55AM on October 13, 2022",,3.0
450000.0,3 bedroom terraced house for sale,"Clayton, Lower Strand, Colindale, London, NW9",https://www.rightmove.co.uk/properties/85898646#/?channel=RES_BUY,2022-10-11,"05:55AM on October 13, 2022",NW9,3.0
475000.0,3 bedroom terraced house for sale,"Warenford Way, WD6",https://www.rightmove.co.uk/properties/126393332#/?channel=RES_BUY,2022-10-11,"05:55AM on October 13, 2022",WD6,3.0
530000.0,3 bedroom semi-detached house for sale,"Aylsham Drive, Uxbridge",https://www.rightmove.co.uk/properties/126635225#/?channel=RES_BUY,2022-10-11,"05:55AM on October 13, 2022",,3.0
650000.0,4 bedroom detached house for sale,"Aysgarth Park, Maidenhead",https://www.rightmove.co.uk/properties/127465430#/?channel=RES_BUY,2022-10-11,"05:55AM on October 14, 2022",,4.0
650000.0,3 bedroom terraced house for sale,"Stanley Road, Bounds Green, N11",https://www.rightmove.co.uk/properties/85901193#/?channel=RES_BUY,2022-10-11,"05:05AM on October 14, 2022",N11,3.0
585000.0,2 bedroom terraced house for sale,"Victoria Road, Barnet, Herts, EN4",https://www.rightmove.co.uk/properties/126072668#/?channel=RES_BUY,2022-10-11,"05:55AM on October 13, 2022",EN4,2.0
550000.0,3 bedroom terraced house for sale,"Allington Road, Harrow, Middlesex, HA2",https://www.rightmove.co.uk/properties/85876680#/?channel=RES_BUY,2022-10-11,"05:55AM on October 14, 2022",HA2,3.0
625000.0,3 bedroom end of terrace house for sale,"Doggetts Close, Barnet, North London, EN4",https://www.rightmove.co.uk/properties/120579863#/?channel=RES_BUY,2022-10-11,"05:55AM on October 13, 2022",EN4,3.0
450000.0,3 bedroom terraced house for sale,"Deansbrook Road, Edgware",https://www.rightmove.co.uk/properties/127331096#/?channel=RES_BUY,2022-10-11,"05:55AM on October 13, 2022",,3.0
555000.0,3 bedroom semi-detached house for sale,"Elgin Avenue, Kenton, HA3",https://www.rightmove.co.uk/properties/85899444#/?channel=RES_BUY,2022-10-11,"05:55AM on October 13, 2022",HA3,3.0
639950.0,3 bedroom semi-detached house for sale,"Southgate Road, Potters Bar",https://www.rightmove.co.uk/properties/85879668#/?channel=RES_BUY,2022-10-11,"05:55AM on October 13, 2022",,3.0
